Murgh Haldighati,Rs 310 / Rs 480,Succulent pieces of boneless Lahsuni Chicken cooked in white gravy with dash of pepper served on a sizzler plate
Murgh Bhayankar,Rs 310 / Rs 480,Succulent pieces of boneless Lahsuni Chicken cooked in a blend of spicy sauces served in a sizzler plate
Murgh Shashlik,Rs 495,Chicken & Veggie Satay served on bed of rice garnished with rich gravy
Subz-e-Bahar,Rs 250,A sizzling medley of seasonal veggies in spicy gravy
Veg Shashlik,Rs 295,Paneer & Veggie Satay served on bed of rice garnished with rich gravy
