Chicken Seekh Roll,Rs 160,
Mutton Seekh Roll,Rs 180,
Chicken Tikka Roll,Rs 160,
Paneer Tikka Roll,Rs 140,
Colonels Special Non-veg Roll,Rs 170,A chicken tikka roll filled with sauted seasonal veggies
Colonels Special Veg Roll,Rs 160,A paneer tikka roll filled with sauted seasonal veggies
