Aloo Paratha with Dal Makhni,Rs 165,
Amritsari Chholle with Kulcha,Rs 165,
Chicken Bhuna masala with Nan ,Rs 210,
Chicken Bhuna masala with Rice,Rs 210,
Paneer Makhni Combo,Rs 235,Dal Makhni-Paneer Makhni-Pudina Jeera aloo-Lachha Paratha-Rice and Salad
Murgh Makhni Combo,275,Dal Makhni-Murg Makhni-Pudina Jeera aloo-Lachha Paratha-Rice and Salad
